CODIGO_PRODUTO;ESPECIE_PRODUTO;GENERO_PRODUTO
1500028436;VESTIDO;FEMININO
1710000111;BLUSA;FEMININO
1500004404;BLUSA;FEMININO
1500113198;CAMISETA;MASCULINO
1500036321;CALCA;MASCULINO
1560000285;BERMUDA;FEMININO
1500139541;SHIRT JACKET;FEMININO
1500162332;VESTIDO;FEMININO
1500009182;CAMISA;FEMININO
1500044213;VESTIDO;FEMININO
1500119360;BLUSA;FEMININO
1500038933;CALCA;FEMININO
1500029232;SHORTS;FEMININO
1500150146;CONJUNTO;FEMININO
1560000293;CALCA;FEMININO
1500074562;CAMISETA;MASCULINO
1722000021;CALCA;FEMININO
1530000143;BLUSA;FEMININO
1500032100;BLUSA;UNISSEX
1500000743;SAIA;FEMININO
1500062523;CONJUNTO;FEMININO
1500168245;VESTIDO;FEMININO
1500006120;BERMUDA;MASCULINO
